"scc","dr","region"
216.84886781147662,"1.5%",globe
687.211164889005,"1.5%",globe
245.27476189670693,"1.5%",globe
352.50832138326655,"1.5%",globe
381.1860652659124,"1.5%",globe
455.2315967563846,"1.5%",globe
525.070687902385,"1.5%",globe
252.4178071610205,"1.5%",globe
620.6052910747435,"1.5%",globe
632.8437300052573,"1.5%",globe
350.43432023911396,"1.5%",globe
866.6886094938048,"1.5%",globe
545.184645028277,"1.5%",globe
351.3758181696693,"1.5%",globe
401.28443260404254,"1.5%",globe
733.4204788685253,"1.5%",globe
243.62328964063917,"1.5%",globe
148.16461569632008,"1.5%",globe
214.8378284202971,"1.5%",globe
444.3015951114126,"1.5%",globe
203.2242317506038,"1.5%",globe
153.52075578199026,"1.5%",globe
425.89820074588926,"1.5%",globe
97.29644857792984,"1.5%",globe
218.31405795369372,"1.5%",globe
484.4915891769374,"1.5%",globe
924.6192045838131,"1.5%",globe
520.6687109754163,"1.5%",globe
838.2396209795235,"1.5%",globe
344.23505529463716,"1.5%",globe
271.9764060469412,"1.5%",globe
302.2024692678182,"1.5%",globe
515.2951845098337,"1.5%",globe
229.99052202264852,"1.5%",globe
343.5318638285781,"1.5%",globe
206.3399728769565,"1.5%",globe
560.0440911547053,"1.5%",globe
192.31498606123932,"1.5%",globe
458.9094320326848,"1.5%",globe
199.41167613009569,"1.5%",globe
233.9306912075995,"1.5%",globe
402.4326221928746,"1.5%",globe
153.11773970104022,"1.5%",globe
429.12424644536804,"1.5%",globe
100.18092122389399,"1.5%",globe
836.048302030125,"1.5%",globe
123.45271969931581,"1.5%",globe
295.843369106366,"1.5%",globe
281.84265483632146,"1.5%",globe
332.59829032390417,"1.5%",globe
218.97895853840527,"1.5%",globe
693.9520956373129,"1.5%",globe
371.1035378434763,"1.5%",globe
289.64674752924986,"1.5%",globe
287.80087597368265,"1.5%",globe
208.87613348856772,"1.5%",globe
410.0648059287819,"1.5%",globe
236.43739493048608,"1.5%",globe
193.8678138193679,"1.5%",globe
340.6610340827474,"1.5%",globe
153.12034414995972,"1.5%",globe
432.75498451880725,"1.5%",globe
290.22117635886787,"1.5%",globe
552.2257527829715,"1.5%",globe
384.2363814857627,"1.5%",globe
484.1490878392654,"1.5%",globe
414.1215912303397,"1.5%",globe
529.4802118828676,"1.5%",globe
240.0659590270228,"1.5%",globe
524.0094794473441,"1.5%",globe
153.19623714932138,"1.5%",globe
592.7819354600963,"1.5%",globe
219.926956825267,"1.5%",globe
704.2698197132953,"1.5%",globe
77.28430019152671,"1.5%",globe
269.18437437974194,"1.5%",globe
225.22331904263083,"1.5%",globe
32.94193416603864,"1.5%",globe
186.59620411979142,"1.5%",globe
322.8258887190525,"1.5%",globe
337.8502176202969,"1.5%",globe
405.2556594411476,"1.5%",globe
52.87917003256255,"1.5%",globe
311.32986558916133,"1.5%",globe
269.77457257598167,"1.5%",globe
484.9947028016925,"1.5%",globe
103.90825521411018,"1.5%",globe
346.9686372259691,"1.5%",globe
153.79989566786068,"1.5%",globe
546.6564225934333,"1.5%",globe
199.01266836834662,"1.5%",globe
195.27392688598266,"1.5%",globe
186.69396427030037,"1.5%",globe
474.09805060711005,"1.5%",globe
164.7234656486418,"1.5%",globe
158.0694311443034,"1.5%",globe
772.4340877735337,"1.5%",globe
216.67152124298983,"1.5%",globe
235.93189320127772,"1.5%",globe
261.6539826495177,"1.5%",globe
73.61761088873885,"1.5%",globe
178.89178581679894,"1.5%",globe
