"scc","sector","dr","region"
7.750843111114742,slr,"2.0%",globe
6.10772864166952,energy,"1.5%",globe
18.514682707548943,energy,"1.5%",globe
19.630847094534854,energy,"1.5%",globe
14.694470278849627,energy,"1.5%",globe
5.809370945066326,energy,"1.5%",globe
15.26510078415084,energy,"1.5%",globe
12.823820983784444,energy,"1.5%",globe
16.40791324766851,energy,"1.5%",globe
14.180753865653786,energy,"1.5%",globe
12.792786518800058,energy,"1.5%",globe
2.2795316371162593,smoke,"1.5%",globe
21.251922434989982,smoke,"1.5%",globe
66.65382964710913,smoke,"1.5%",globe
5.124427335315996,smoke,"1.5%",globe
1.5417695397970241,smoke,"1.5%",globe
28.470448622805527,smoke,"1.5%",globe
16.094495011990404,smoke,"1.5%",globe
3.6787707612675535,smoke,"1.5%",globe
24.308489534966434,smoke,"1.5%",globe
7.761767723285862,smoke,"1.5%",globe
118.63124581058773,cromar_mortality,"1.5%",globe
325.2446106211909,cromar_mortality,"1.5%",globe
113.03755149044581,cromar_mortality,"1.5%",globe
87.52274158119451,cromar_mortality,"1.5%",globe
72.73620113715047,cromar_mortality,"1.5%",globe
146.15356994616474,cromar_mortality,"1.5%",globe
137.12489382274094,cromar_mortality,"1.5%",globe
98.38244898376871,cromar_mortality,"1.5%",globe
170.66563653201587,cromar_mortality,"1.5%",globe
137.1413186103096,cromar_mortality,"1.5%",globe
52.102529185075525,cromar_mortality,"2.5%",globe
117.6557414472177,cromar_mortality,"2.5%",globe
44.14056838664214,cromar_mortality,"2.5%",globe
39.16184767025962,cromar_mortality,"2.5%",globe
24.070374927621994,cromar_mortality,"2.5%",globe
48.22160261143633,cromar_mortality,"2.5%",globe
63.90594928077825,cromar_mortality,"2.5%",globe
21.55901285377785,cromar_mortality,"2.5%",globe
42.3156707300909,cromar_mortality,"2.5%",globe
93.24390247972738,cromar_mortality,"2.5%",globe
-8.534124371476151,agriculture,"3.0%",globe
62.9322027721844,agriculture,"3.0%",globe
33.522299157634,agriculture,"3.0%",globe
104.6519861655346,agriculture,"3.0%",globe
4.855442480598847,agriculture,"3.0%",globe
63.144729069703835,agriculture,"3.0%",globe
57.934306699999595,agriculture,"3.0%",globe
-6.523202250371609,agriculture,"3.0%",globe
-3.1896954269334814,agriculture,"3.0%",globe
136.82775018921313,agriculture,"3.0%",globe
2.7247703745759275,energy,"2.5%",globe
7.002484011997355,energy,"2.5%",globe
6.894380905299916,energy,"2.5%",globe
6.237678756387937,energy,"2.5%",globe
1.9436468641452467,energy,"2.5%",globe
4.7347083354686506,energy,"2.5%",globe
5.721146463165125,energy,"2.5%",globe
2.2709353011870514,energy,"2.5%",globe
3.3824957693161704,energy,"2.5%",globe
8.308924434842341,energy,"2.5%",globe
32.700112367564,total,"3.0%",globe
150.19898888339512,total,"3.0%",globe
75.43547741197075,total,"3.0%",globe
137.88656583061754,total,"3.0%",globe
22.127615995224993,total,"3.0%",globe
104.85450223447671,total,"3.0%",globe
114.37285633620083,total,"3.0%",globe
10.035464557916882,total,"3.0%",globe
29.124344070379063,total,"3.0%",globe
224.76045393578485,total,"3.0%",globe
1.9604802826692294,energy,"3.0%",globe
4.60524513664044,energy,"3.0%",globe
4.149661683565029,energy,"3.0%",globe
4.065883866901157,energy,"3.0%",globe
1.2643757982534072,energy,"3.0%",globe
3.1141422697192547,energy,"3.0%",globe
3.9881624082773106,energy,"3.0%",globe
1.3549294011950608,energy,"3.0%",globe
2.251830770113122,energy,"3.0%",globe
6.3104595909382395,energy,"3.0%",globe
1.492289911235876,smoke,"2.5%",globe
8.231907623499472,smoke,"2.5%",globe
17.760307379420617,smoke,"2.5%",globe
2.7123083128464227,smoke,"2.5%",globe
0.4926182612569785,smoke,"2.5%",globe
7.964323436502024,smoke,"2.5%",globe
7.693205105277954,smoke,"2.5%",globe
0.9781523651989824,smoke,"2.5%",globe
2.6687130642583545,smoke,"2.5%",globe
5.949256207052822,smoke,"2.5%",globe
