"scc","dr","region"
431.3620561665232,"1.5%",globe
181.10803644551137,"1.5%",globe
262.51173203459786,"1.5%",globe
668.2032250053348,"1.5%",globe
187.659789217499,"1.5%",globe
208.79449067359468,"1.5%",globe
129.2438880692202,"1.5%",globe
353.2782605954094,"1.5%",globe
383.36472918578687,"1.5%",globe
247.64540575735455,"1.5%",globe
215.1351414289505,"1.5%",globe
43.49231628627205,"1.5%",globe
427.42639859029657,"1.5%",globe
265.93320859314906,"1.5%",globe
184.88481470827344,"1.5%",globe
258.16782504521075,"1.5%",globe
500.80716934127065,"1.5%",globe
198.8322899282609,"1.5%",globe
158.0527735877987,"1.5%",globe
262.5787080820539,"1.5%",globe
92.24172970856861,"1.5%",globe
439.08610530108916,"1.5%",globe
393.0422144436962,"1.5%",globe
230.6930192782972,"1.5%",globe
414.9229889704801,"1.5%",globe
516.1659471418008,"1.5%",globe
528.645865681517,"1.5%",globe
393.0357335684749,"1.5%",globe
501.0675049668253,"1.5%",globe
378.29978677380166,"1.5%",globe
421.1354530777884,"1.5%",globe
350.8867044463414,"1.5%",globe
462.1807423946711,"1.5%",globe
151.15279174707695,"1.5%",globe
434.7038937394968,"1.5%",globe
415.6138977651174,"1.5%",globe
302.5718376210344,"1.5%",globe
283.335640353038,"1.5%",globe
119.19295279582795,"1.5%",globe
417.2401591905877,"1.5%",globe
249.8424376005215,"1.5%",globe
259.46691494400017,"1.5%",globe
313.8653949911471,"1.5%",globe
317.2070582411105,"1.5%",globe
278.40749175112586,"1.5%",globe
370.723268757958,"1.5%",globe
360.1251091779324,"1.5%",globe
403.03233500457816,"1.5%",globe
342.95895507357596,"1.5%",globe
422.8223881247285,"1.5%",globe
1067.603034146827,"1.5%",globe
229.565390720662,"1.5%",globe
558.7707821601492,"1.5%",globe
324.27653552015533,"1.5%",globe
476.61177413625575,"1.5%",globe
276.7207895101321,"1.5%",globe
572.4931171604266,"1.5%",globe
391.4162870109694,"1.5%",globe
290.94659300795803,"1.5%",globe
259.0100497886985,"1.5%",globe
406.1465070571476,"1.5%",globe
219.97447052329028,"1.5%",globe
385.0783648046408,"1.5%",globe
316.58853568686095,"1.5%",globe
440.4511483418083,"1.5%",globe
244.5036562964901,"1.5%",globe
425.33828344032224,"1.5%",globe
-94.14886776970631,"1.5%",globe
382.07631339774616,"1.5%",globe
365.9465655815379,"1.5%",globe
337.917505451094,"1.5%",globe
386.4565915240693,"1.5%",globe
271.02208692010794,"1.5%",globe
116.79064240703717,"1.5%",globe
340.430828504418,"1.5%",globe
320.0648969915048,"1.5%",globe
307.19508087742383,"1.5%",globe
740.1954846575891,"1.5%",globe
322.0776399212472,"1.5%",globe
256.70089744881875,"1.5%",globe
252.24411499988187,"1.5%",globe
369.7928995741713,"1.5%",globe
181.71152267410056,"1.5%",globe
185.71257766184,"1.5%",globe
270.4338326622218,"1.5%",globe
482.96169945589344,"1.5%",globe
331.7850311770643,"1.5%",globe
273.3413820755752,"1.5%",globe
95.80255682182852,"1.5%",globe
204.16224083078183,"1.5%",globe
238.50323584581193,"1.5%",globe
303.35956823548486,"1.5%",globe
377.461760446477,"1.5%",globe
335.2171551270786,"1.5%",globe
148.06351212080668,"1.5%",globe
348.00563628010065,"1.5%",globe
157.53296520887037,"1.5%",globe
257.7978104238772,"1.5%",globe
318.92290735228335,"1.5%",globe
340.1421162687944,"1.5%",globe
247.65653887910182,"1.5%",globe
98.67661314688146,"1.5%",globe
877.2856942897777,"1.5%",globe
368.9073331415136,"1.5%",globe
385.9683482382797,"1.5%",globe
47.90000280503019,"1.5%",globe
259.92591263809317,"1.5%",globe
1612.0879293866765,"1.5%",globe
206.78438263303357,"1.5%",globe
260.0894445250792,"1.5%",globe
179.6512143684194,"1.5%",globe
165.23199981118663,"1.5%",globe
153.49871319373278,"1.5%",globe
231.04461493658783,"1.5%",globe
326.38084083584937,"1.5%",globe
294.9810586028785,"1.5%",globe
389.2658423383429,"1.5%",globe
103.76789610704148,"1.5%",globe
577.146068639545,"1.5%",globe
422.8953405440462,"1.5%",globe
34.705095525377764,"1.5%",globe
180.9638422381913,"1.5%",globe
325.433485811434,"1.5%",globe
107.17044825228773,"1.5%",globe
223.0622950152019,"1.5%",globe
332.4410566735377,"1.5%",globe
204.88348367101273,"1.5%",globe
547.6578111471594,"1.5%",globe
