"scc","dr","region"
192.37226546518448,"1.5%",globe
703.8459548157499,"1.5%",globe
222.98148656210373,"1.5%",globe
365.9799193851896,"1.5%",globe
371.72243096687276,"1.5%",globe
387.9329130735229,"1.5%",globe
466.1344959471746,"1.5%",globe
278.067991282416,"1.5%",globe
587.7478114577253,"1.5%",globe
573.6289171890559,"1.5%",globe
339.3229828484739,"1.5%",globe
687.1360089527069,"1.5%",globe
440.0394140494767,"1.5%",globe
348.50781513410755,"1.5%",globe
396.60383708738846,"1.5%",globe
598.1175847401095,"1.5%",globe
255.11030398326943,"1.5%",globe
135.50430851684214,"1.5%",globe
273.5647009614139,"1.5%",globe
378.12614950823973,"1.5%",globe
221.31406695196273,"1.5%",globe
125.09911087604618,"1.5%",globe
366.14677424994204,"1.5%",globe
99.99379584777958,"1.5%",globe
169.73178855670335,"1.5%",globe
524.8656918684745,"1.5%",globe
808.0986993984687,"1.5%",globe
496.60677233143946,"1.5%",globe
731.9375017442183,"1.5%",globe
288.5319133481374,"1.5%",globe
259.4982676674954,"1.5%",globe
303.5088053589647,"1.5%",globe
510.42531461796534,"1.5%",globe
203.16876288469078,"1.5%",globe
386.478175929015,"1.5%",globe
228.27904665192483,"1.5%",globe
570.2043552695476,"1.5%",globe
153.690943578868,"1.5%",globe
371.19117680036675,"1.5%",globe
170.4021800358217,"1.5%",globe
266.5464949336656,"1.5%",globe
399.281405786263,"1.5%",globe
120.48139879826903,"1.5%",globe
369.2404732023267,"1.5%",globe
99.38276043020358,"1.5%",globe
818.5195460424591,"1.5%",globe
106.9728805844319,"1.5%",globe
254.50671965399658,"1.5%",globe
276.5422299010481,"1.5%",globe
302.35285233028645,"1.5%",globe
216.8071123250807,"1.5%",globe
564.2908269359425,"1.5%",globe
338.59868667007765,"1.5%",globe
296.6669982547756,"1.5%",globe
306.91072440669495,"1.5%",globe
193.42109832170712,"1.5%",globe
337.62217535613365,"1.5%",globe
208.14465472856182,"1.5%",globe
188.67571594195164,"1.5%",globe
887.1323219579725,"1.5%",globe
146.22026140588852,"1.5%",globe
421.1074683362045,"1.5%",globe
249.72672080841215,"1.5%",globe
576.0591474392234,"1.5%",globe
373.8687873651794,"1.5%",globe
415.1206339385026,"1.5%",globe
430.93328046784984,"1.5%",globe
542.6229454415236,"1.5%",globe
216.6866849758109,"1.5%",globe
433.54828606698334,"1.5%",globe
189.29573249973268,"1.5%",globe
516.5391371461284,"1.5%",globe
183.67249839870948,"1.5%",globe
705.1641237732723,"1.5%",globe
73.43879301554794,"1.5%",globe
247.7019753041666,"1.5%",globe
228.73785923370968,"1.5%",globe
36.074415231826634,"1.5%",globe
147.10122385574962,"1.5%",globe
326.67696020551944,"1.5%",globe
266.3287635958176,"1.5%",globe
376.10049813564905,"1.5%",globe
61.71258717335357,"1.5%",globe
273.16618067204587,"1.5%",globe
269.2715133564535,"1.5%",globe
396.9164062954249,"1.5%",globe
113.30560177249563,"1.5%",globe
384.0219414454521,"1.5%",globe
156.10148376955135,"1.5%",globe
452.51605275325005,"1.5%",globe
206.19073346266245,"1.5%",globe
177.32385397906242,"1.5%",globe
202.39439225108876,"1.5%",globe
440.2222398392458,"1.5%",globe
151.33512517811522,"1.5%",globe
158.13429835339784,"1.5%",globe
711.4400239689636,"1.5%",globe
222.3577260111444,"1.5%",globe
216.3724452152281,"1.5%",globe
231.18321633834455,"1.5%",globe
76.80138436116206,"1.5%",globe
135.99048228734614,"1.5%",globe
673.9759680474635,"1.5%",globe
579.6980659344832,"1.5%",globe
282.9878003992533,"1.5%",globe
123.33785522129018,"1.5%",globe
443.9766910285206,"1.5%",globe
183.98812265890672,"1.5%",globe
387.5877494574912,"1.5%",globe
628.1229646144939,"1.5%",globe
235.28135463614478,"1.5%",globe
264.5997964791316,"1.5%",globe
105.26451888562994,"1.5%",globe
502.57014535461093,"1.5%",globe
365.98530716845386,"1.5%",globe
221.04522267062376,"1.5%",globe
209.53269861508366,"1.5%",globe
670.7928783672166,"1.5%",globe
221.25799825051894,"1.5%",globe
77.31734092290563,"1.5%",globe
276.92455619908503,"1.5%",globe
462.5298920174992,"1.5%",globe
196.1475306697653,"1.5%",globe
396.344379032361,"1.5%",globe
91.40846282583226,"1.5%",globe
331.13086499551713,"1.5%",globe
628.9448355690284,"1.5%",globe
452.67317404834654,"1.5%",globe
139.11473708180367,"1.5%",globe
935.3698395519984,"1.5%",globe
222.84318642355277,"1.5%",globe
40.99604214975861,"1.5%",globe
552.3354539394774,"1.5%",globe
278.4822562104261,"1.5%",globe
677.6047274481361,"1.5%",globe
344.75003763511,"1.5%",globe
689.8913691439044,"1.5%",globe
475.8545915709873,"1.5%",globe
195.77353882852807,"1.5%",globe
194.2862074643906,"1.5%",globe
543.3470790658031,"1.5%",globe
501.00914522809114,"1.5%",globe
439.8309433873428,"1.5%",globe
321.40135302287104,"1.5%",globe
284.94414971408696,"1.5%",globe
850.6613722873718,"1.5%",globe
272.4157940041089,"1.5%",globe
694.1376620077384,"1.5%",globe
364.48957336667837,"1.5%",globe
355.9283028304103,"1.5%",globe
215.5911754067152,"1.5%",globe
280.1488088618078,"1.5%",globe
317.3378178854536,"1.5%",globe
258.9869957931863,"1.5%",globe
708.094842367428,"1.5%",globe
211.05868424192258,"1.5%",globe
293.37043403541503,"1.5%",globe
512.4966414436389,"1.5%",globe
268.37640828572523,"1.5%",globe
125.92881243922042,"1.5%",globe
361.9093150840097,"1.5%",globe
259.39807939149927,"1.5%",globe
230.08573548777517,"1.5%",globe
354.592341029235,"1.5%",globe
137.01392624485078,"1.5%",globe
440.60465658455996,"1.5%",globe
263.35814856687614,"1.5%",globe
291.8795219931718,"1.5%",globe
295.5222859838223,"1.5%",globe
318.63164978505,"1.5%",globe
100.97393864651896,"1.5%",globe
498.0400060874655,"1.5%",globe
124.3642220655311,"1.5%",globe
361.12597888526994,"1.5%",globe
258.7882708837028,"1.5%",globe
322.0695218059067,"1.5%",globe
430.37787770008475,"1.5%",globe
589.6981806872991,"1.5%",globe
444.46152734643783,"1.5%",globe
259.30999698514154,"1.5%",globe
516.6019230704178,"1.5%",globe
866.8582677444466,"1.5%",globe
324.75324883776426,"1.5%",globe
416.5344849187001,"1.5%",globe
423.6270881847198,"1.5%",globe
434.3533504821064,"1.5%",globe
160.4640437604007,"1.5%",globe
93.07147895749048,"1.5%",globe
479.4043986719512,"1.5%",globe
184.93028770515224,"1.5%",globe
265.92480054511424,"1.5%",globe
760.2395162299086,"1.5%",globe
197.18272907428454,"1.5%",globe
224.3119784040363,"1.5%",globe
131.64232847017493,"1.5%",globe
356.2900308073798,"1.5%",globe
386.5015644088868,"1.5%",globe
269.25596354007894,"1.5%",globe
237.42919262554793,"1.5%",globe
44.71235096021386,"1.5%",globe
434.76294350409495,"1.5%",globe
270.0214168477266,"1.5%",globe
206.4214334660068,"1.5%",globe
282.43399123224737,"1.5%",globe
511.1477515542408,"1.5%",globe
201.78943987561817,"1.5%",globe
164.5737963943821,"1.5%",globe
287.06397904117654,"1.5%",globe
94.58613833493483,"1.5%",globe
492.3437340498858,"1.5%",globe
442.67033351589885,"1.5%",globe
239.9237173084435,"1.5%",globe
416.6722579762543,"1.5%",globe
554.5167932553121,"1.5%",globe
545.3790005696322,"1.5%",globe
403.8088941456119,"1.5%",globe
517.497808908687,"1.5%",globe
390.10127150001006,"1.5%",globe
447.72967175348845,"1.5%",globe
374.73487836529966,"1.5%",globe
489.48058945610506,"1.5%",globe
161.2516400711614,"1.5%",globe
467.7106833320092,"1.5%",globe
443.33726519576635,"1.5%",globe
319.5419900500714,"1.5%",globe
296.8054543328191,"1.5%",globe
135.57416488064428,"1.5%",globe
437.0031812000013,"1.5%",globe
254.49857762342222,"1.5%",globe
289.7705204589028,"1.5%",globe
319.31581901064493,"1.5%",globe
382.4230184692406,"1.5%",globe
279.63272869040526,"1.5%",globe
430.26752254291057,"1.5%",globe
377.3707760565538,"1.5%",globe
472.29905693933904,"1.5%",globe
354.2815035354861,"1.5%",globe
429.5093275066794,"1.5%",globe
1087.510052244454,"1.5%",globe
239.4977484441301,"1.5%",globe
562.0846803685702,"1.5%",globe
328.64975132265624,"1.5%",globe
484.24653817473717,"1.5%",globe
308.39468777868666,"1.5%",globe
618.5257221321957,"1.5%",globe
396.0510042483068,"1.5%",globe
294.8537584767391,"1.5%",globe
266.5616703825569,"1.5%",globe
437.2663354204072,"1.5%",globe
235.82294918265197,"1.5%",globe
400.5144290351802,"1.5%",globe
327.3826409240927,"1.5%",globe
474.6865112779205,"1.5%",globe
298.4110117638434,"1.5%",globe
451.0684300065665,"1.5%",globe
-96.46384386600998,"1.5%",globe
433.5578594810874,"1.5%",globe
395.3693245400184,"1.5%",globe
344.75708819071906,"1.5%",globe
399.0365225759956,"1.5%",globe
