"scc","dr","region"
220.0107866550933,"1.5%",globe
679.3033887393171,"1.5%",globe
245.978686769297,"1.5%",globe
358.5314522931449,"1.5%",globe
383.0292271466427,"1.5%",globe
451.95000176963515,"1.5%",globe
511.81485037287104,"1.5%",globe
251.33239798865193,"1.5%",globe
617.3269718935904,"1.5%",globe
631.9499694913495,"1.5%",globe
351.12891132521133,"1.5%",globe
860.3007778624536,"1.5%",globe
545.8459814392594,"1.5%",globe
349.8505944514853,"1.5%",globe
402.5616477240715,"1.5%",globe
732.038653470152,"1.5%",globe
253.86787992899932,"1.5%",globe
151.22156809097936,"1.5%",globe
308.78488579656397,"1.5%",globe
432.8852813409918,"1.5%",globe
208.30526909109912,"1.5%",globe
156.79635747012716,"1.5%",globe
430.61564270044477,"1.5%",globe
116.27433205178146,"1.5%",globe
219.64298178233716,"1.5%",globe
486.8147236059949,"1.5%",globe
923.6409276014308,"1.5%",globe
535.394443646127,"1.5%",globe
855.9534663193399,"1.5%",globe
342.9069995518599,"1.5%",globe
272.05658541446763,"1.5%",globe
303.9223380612253,"1.5%",globe
513.5737268085031,"1.5%",globe
230.78748658017108,"1.5%",globe
343.5100749771441,"1.5%",globe
220.3438214074876,"1.5%",globe
555.4708242878077,"1.5%",globe
193.16428669300356,"1.5%",globe
455.5508794829328,"1.5%",globe
201.1201885749498,"1.5%",globe
233.54528361178657,"1.5%",globe
403.95213223475577,"1.5%",globe
151.7511316695571,"1.5%",globe
429.2595828192971,"1.5%",globe
106.42278464254642,"1.5%",globe
834.8080185845303,"1.5%",globe
128.06014068520219,"1.5%",globe
294.0653683242575,"1.5%",globe
283.1271641235092,"1.5%",globe
332.4528438161951,"1.5%",globe
226.75491304148082,"1.5%",globe
689.5398149826567,"1.5%",globe
372.61368278972566,"1.5%",globe
289.7954710209853,"1.5%",globe
289.00864682439504,"1.5%",globe
211.0713457537905,"1.5%",globe
416.4849198352508,"1.5%",globe
237.40294399790926,"1.5%",globe
192.72383332622297,"1.5%",globe
871.1482569139646,"1.5%",globe
162.9097114172676,"1.5%",globe
432.90566413244414,"1.5%",globe
288.56049849222666,"1.5%",globe
555.7162194445891,"1.5%",globe
378.73162650671236,"1.5%",globe
482.834098826124,"1.5%",globe
421.0219457576534,"1.5%",globe
535.3136623015331,"1.5%",globe
239.4011952454847,"1.5%",globe
523.7961004058953,"1.5%",globe
154.21706851225397,"1.5%",globe
586.2230605023751,"1.5%",globe
219.73635905985014,"1.5%",globe
703.0570112684713,"1.5%",globe
79.42016954670503,"1.5%",globe
268.2412105138833,"1.5%",globe
226.4548605286794,"1.5%",globe
36.07239493698306,"1.5%",globe
187.9404352536537,"1.5%",globe
324.33812013593564,"1.5%",globe
339.1452815242333,"1.5%",globe
441.50821735762963,"1.5%",globe
60.96703531956926,"1.5%",globe
312.5600187430508,"1.5%",globe
273.3652429323321,"1.5%",globe
480.7783974492294,"1.5%",globe
120.18840729814798,"1.5%",globe
347.9291296541331,"1.5%",globe
161.172050063433,"1.5%",globe
554.8818120067738,"1.5%",globe
199.90824697777143,"1.5%",globe
197.18060663447247,"1.5%",globe
187.7531711932195,"1.5%",globe
476.67033785602837,"1.5%",globe
172.65225588586952,"1.5%",globe
160.4318936184002,"1.5%",globe
779.7293053527571,"1.5%",globe
216.75693065636614,"1.5%",globe
235.2787800012681,"1.5%",globe
263.01726860592277,"1.5%",globe
89.10466077668106,"1.5%",globe
184.59538494370238,"1.5%",globe
618.0292770684968,"1.5%",globe
608.5122112547386,"1.5%",globe
367.2655873891087,"1.5%",globe
151.39341374234255,"1.5%",globe
439.52316991039044,"1.5%",globe
212.604111234148,"1.5%",globe
473.13701590218125,"1.5%",globe
585.9435002375512,"1.5%",globe
251.4556907123549,"1.5%",globe
247.32179910256374,"1.5%",globe
111.81198410345723,"1.5%",globe
579.7952269577823,"1.5%",globe
416.6532908165077,"1.5%",globe
210.13150533325134,"1.5%",globe
251.18044129911937,"1.5%",globe
734.9717233023555,"1.5%",globe
217.35097529857785,"1.5%",globe
88.60970532686966,"1.5%",globe
275.11354688524443,"1.5%",globe
461.17173920607814,"1.5%",globe
194.2886696122331,"1.5%",globe
457.7863748957335,"1.5%",globe
101.41235096437359,"1.5%",globe
379.0675744886554,"1.5%",globe
755.0706435793148,"1.5%",globe
405.5550014909896,"1.5%",globe
135.819205356421,"1.5%",globe
1055.6397763172383,"1.5%",globe
225.8998599158624,"1.5%",globe
44.13333698183608,"1.5%",globe
571.8660039280686,"1.5%",globe
276.6898789502169,"1.5%",globe
764.2958158767,"1.5%",globe
380.22777202492586,"1.5%",globe
832.5776832606907,"1.5%",globe
475.21402548864796,"1.5%",globe
228.3123681611376,"1.5%",globe
191.61328744703442,"1.5%",globe
540.5201829782943,"1.5%",globe
506.6818938924011,"1.5%",globe
476.60899203978636,"1.5%",globe
383.3394811453279,"1.5%",globe
308.01980907949076,"1.5%",globe
822.4476265621366,"1.5%",globe
281.4295996280717,"1.5%",globe
665.9693967431572,"1.5%",globe
406.3266328677566,"1.5%",globe
363.0331408112731,"1.5%",globe
231.8656493005946,"1.5%",globe
258.2364978765585,"1.5%",globe
317.8749990436635,"1.5%",globe
289.09021807129295,"1.5%",globe
775.5425248279225,"1.5%",globe
234.79163253914354,"1.5%",globe
237.03130674335827,"1.5%",globe
585.3845568310334,"1.5%",globe
263.79710559355124,"1.5%",globe
144.07405776861847,"1.5%",globe
352.78131628496914,"1.5%",globe
252.78769824335018,"1.5%",globe
207.2361555488487,"1.5%",globe
430.25334053748514,"1.5%",globe
146.671647829804,"1.5%",globe
392.611168396848,"1.5%",globe
287.71035912245424,"1.5%",globe
339.4091464172284,"1.5%",globe
360.52653970114676,"1.5%",globe
407.32267814638783,"1.5%",globe
109.3245980876076,"1.5%",globe
538.3207773766816,"1.5%",globe
130.72602872311322,"1.5%",globe
338.483701349313,"1.5%",globe
273.00227976724534,"1.5%",globe
324.075882368541,"1.5%",globe
468.06813337687237,"1.5%",globe
529.5386857054004,"1.5%",globe
533.5541093781463,"1.5%",globe
275.3883763227475,"1.5%",globe
553.5960189323621,"1.5%",globe
826.776609096988,"1.5%",globe
383.30112177971796,"1.5%",globe
409.3246303009271,"1.5%",globe
432.23190750574145,"1.5%",globe
451.35735622069353,"1.5%",globe
167.3531982955677,"1.5%",globe
99.2911977001249,"1.5%",globe
491.8384378098835,"1.5%",globe
181.24425719337304,"1.5%",globe
301.9045678126258,"1.5%",globe
756.9829693469757,"1.5%",globe
162.7157572677404,"1.5%",globe
219.59515606104134,"1.5%",globe
133.55477750865276,"1.5%",globe
359.91456131118287,"1.5%",globe
381.45883355391476,"1.5%",globe
270.90885169687886,"1.5%",globe
229.54939797091342,"1.5%",globe
59.634714923323905,"1.5%",globe
482.58575919998106,"1.5%",globe
283.277220203299,"1.5%",globe
248.84181227260524,"1.5%",globe
311.5511685530863,"1.5%",globe
525.3067833409959,"1.5%",globe
230.4632946199075,"1.5%",globe
206.97356396672674,"1.5%",globe
329.23156762107544,"1.5%",globe
107.00544349300246,"1.5%",globe
545.1010710234934,"1.5%",globe
475.4729453123621,"1.5%",globe
262.642229070117,"1.5%",globe
405.03025502941654,"1.5%",globe
572.4730970730045,"1.5%",globe
525.4478527849199,"1.5%",globe
409.12155993873614,"1.5%",globe
606.606315042974,"1.5%",globe
393.9525659511414,"1.5%",globe
436.3987444890307,"1.5%",globe
362.9566209317071,"1.5%",globe
485.34317498100154,"1.5%",globe
158.3901515355929,"1.5%",globe
569.7601968918547,"1.5%",globe
486.9111112739253,"1.5%",globe
319.58517618000684,"1.5%",globe
330.13081413573786,"1.5%",globe
136.14350452595272,"1.5%",globe
458.5172303436521,"1.5%",globe
251.17829601812127,"1.5%",globe
322.5875502172863,"1.5%",globe
380.4598751416796,"1.5%",globe
472.66537539292295,"1.5%",globe
308.9846608642886,"1.5%",globe
471.0918179514478,"1.5%",globe
