"scc","sector","dr","region"
0.0007463663118644488,energy,"2.5%",domestic
0.002293801173001003,energy,"2.5%",domestic
0.0017568849040919463,energy,"2.5%",domestic
0.00127708816197715,energy,"2.5%",domestic
0.0008680311277883906,energy,"2.5%",domestic
0.0021796437963309185,energy,"2.5%",domestic
0.0027160316726421046,energy,"2.5%",domestic
0.0011815281861563254,energy,"2.5%",domestic
0.001402696941994042,energy,"2.5%",domestic
0.0019192900743626544,energy,"2.5%",domestic
76.46203949369253,cromar_mortality,"2.0%",globe
194.01321513401354,cromar_mortality,"2.0%",globe
70.62591457465724,cromar_mortality,"2.0%",globe
59.24954850046857,cromar_mortality,"2.0%",globe
40.36898553605876,cromar_mortality,"2.0%",globe
78.8854444435477,cromar_mortality,"2.0%",globe
93.48356096133148,cromar_mortality,"2.0%",globe
39.333595809032296,cromar_mortality,"2.0%",globe
73.68265226114984,cromar_mortality,"2.0%",globe
117.65652987587727,cromar_mortality,"2.0%",globe
6.108950648319057,energy,"1.5%",globe
18.50144705765795,energy,"1.5%",globe
19.501559419313292,energy,"1.5%",globe
14.677105190903298,energy,"1.5%",globe
5.804571651134024,energy,"1.5%",globe
15.25283655127118,energy,"1.5%",globe
12.802053820304042,energy,"1.5%",globe
16.39357529578915,energy,"1.5%",globe
14.142875630213803,energy,"1.5%",globe
12.780636749192338,energy,"1.5%",globe
118.65542485775443,cromar_mortality,"1.5%",globe
325.0136217546343,cromar_mortality,"1.5%",globe
112.47519220849597,cromar_mortality,"1.5%",globe
87.42388029867675,cromar_mortality,"1.5%",globe
72.67505593814622,cromar_mortality,"1.5%",globe
146.0424477102111,cromar_mortality,"1.5%",globe
136.90005539571303,cromar_mortality,"1.5%",globe
98.30859760788456,cromar_mortality,"1.5%",globe
170.22270177240543,cromar_mortality,"1.5%",globe
137.01742773278087,cromar_mortality,"1.5%",globe
52.11188342565494,cromar_mortality,"2.5%",globe
117.567288893769,cromar_mortality,"2.5%",globe
43.915766373259814,cromar_mortality,"2.5%",globe
39.1083265026725,cromar_mortality,"2.5%",globe
24.049066818277545,cromar_mortality,"2.5%",globe
48.17888859523209,cromar_mortality,"2.5%",globe
63.7874396271398,cromar_mortality,"2.5%",globe
21.54564159789927,cromar_mortality,"2.5%",globe
42.22865272770682,cromar_mortality,"2.5%",globe
93.14313114253078,cromar_mortality,"2.5%",globe
